name,segment,sector,location,email,phone,current_web_presence,evidence_of_need,why_they_would_pay,business_type_guess,source_url
Auto-Safe (Newton) Ltd (Autosafe MOT Station),UK-wide — Niche services,Garage / MOT centre,"Newton Brae, Westburn Road, Cambuslang, Glasgow G72 7UW",AutosafeMotstation@gmail.com,0141 641 2626,"Facebook page (facebook.com/AutosafeMotstation), Instagram (@autosafemot) and MOT directory listings only; no own website found","Family-run MOT/servicing garage (25+ years) relying entirely on Facebook and third-party MOT directories (mot.tools, cylex, city-advisor) for online presence; email verified on its Facebook page via exact-match search",Established Class 4/7 MOT station with steady bookings and free pick-up/drop-off service; a site with online MOT booking would capture 'MOT Cambuslang' searches currently lost to directories,ltd company,https://www.facebook.com/AutosafeMotstation/
Cardiff Garage & MOT Centre Ltd,UK-wide — Niche services,Garage / MOT centre,"Unit 29 Old Thayers Site, Pwllmawr Court, Rumney, Cardiff CF3 2ED",Cardiffgaragerumney@gmail.com,07779 535290,Facebook page (facebook.com/cardiffgarage) and MOT directory listings (motcentre.info) only; no own website found,"Exact-match search confirms Cardiffgaragerumney@gmail.com is shown as the contact email on the Facebook page of Cardiff Garage & MOT Centre LTD; competitors in Rumney (Rumney Test & Service Centre, Rumney Automotive, CF3 MOT) all have websites",MOT-testing garage in a Cardiff suburb where at least three direct local rivals rank with proper booking websites; clear competitive pressure to get found in local search,ltd company,https://www.facebook.com/cardiffgarage/
Maltings Garage,UK-wide — Niche services,Garage / MOT centre,"Station Road, Sawbridgeworth, Hertfordshire CM21 9JX",themaltingsgarage1@gmail.com,01279 725555,"Facebook page (facebook.com/maltingsgarage.sawbridgeworth) and MOT directory listings (motcheck.org.uk, mot.tools, checkmot.com) only; no own website found","Exact-match search confirms email belongs to family-run Maltings Garage, Sawbridgeworth; all search visibility comes from third-party MOT directories rather than its own site",Long-standing DVSA MOT station in an affluent Herts commuter town; a simple site with online booking would stop directory sites monetising its own customers,unknown,https://www.facebook.com/maltingsgarage.sawbridgeworth/
Pontypridd MOT Centre Ltd (DMS MOT Centre),UK-wide — Niche services,Garage / MOT centre,"Charles Street, Pontypridd CF37 1HU",davidmspontypriddmotcentre@gmail.com,01443 402255,"Facebook page (facebook.com/dmsmotcentre), Trust My Garage / Yell / motlocal directory listings only; no own website found",Site-restricted Facebook search shows davidmspontypriddmotcentre@gmail.com listed as the contact email on the Pontypridd MOT Centre Ltd Facebook page; actively posts service offers (e.g. air-con re-gas from £39.95) on Facebook only,"Full-service garage (MOT, recovery, diagnostics, tyres) already investing in promotion via Facebook posts; a website would let its offers rank on Google instead of vanishing in feeds",ltd company,https://www.facebook.com/dmsmotcentre/
Kelham St MOT Centre,UK-wide — Niche services,Garage / MOT centre,"Unit 10, Kelham Bank, Kelham Street, Doncaster DN1 3RJ",kelhamstmotcentre@gmail.com,01302 953535,"Facebook page (facebook.com/KelhamST) and MOT directories (motremind.me, motcheck.org.uk, regit.cars) only; no own website found",Email verified on its Facebook page and repeated across directory listings; open 8am-6pm six days a week but has no owned web channel for bookings,City-centre Doncaster MOT/diagnostics/servicing garage with long opening hours; losing bookable demand to aggregators like BookMyGarage that charge commission,unknown,https://www.facebook.com/KelhamST/
Station Motors,UK-wide — Niche services,Garage / MOT centre,"Station Road, Llandeilo, Carmarthenshire SA19 3NG",stationmotorsmot@gmail.com,01558 823640,"Facebook page (facebook.com/stationmotorsmotcentre) and MOT directories (motcentre.info, mot-testers.co.uk, checkmot.com) only; directories explicitly show no website for this garage",Site-restricted Facebook search shows stationmotorsmot@gmail.com as the page's contact email; follow-up search across directories found no website URL for the business,Approved Class 1/2/4 MOT station (cars and motorbikes) serving a rural market town with few competitors; even a one-page site would own 'MOT Llandeilo' searches,unknown,https://www.facebook.com/stationmotorsmotcentre/
Manchester MOT Centre,UK-wide — Niche services,Garage / MOT centre,"Manchester, Greater Manchester",manchester.motstation@gmail.com,,Facebook page (facebook.com/manchestermotcentre) and checkmot.com/motlocal directory entries only; follow-up search found no dedicated website for this centre,Site-restricted Facebook search shows manchester.motstation@gmail.com as the page contact; 100% recommend rating from 7 Facebook reviews but zero owned web presence in a very competitive city market,"Competes against Manchester garages (motmanchester.com, absmotstation.co.uk) that advertise MOT offer prices on their own sites; needs a site just to appear in the comparison set",unknown,https://www.facebook.com/manchestermotcentre/
Claws and Paws Kennels and Cattery,UK-wide — Niche services,Kennels / cattery (pet boarding),"Gagie, by Dundee, Angus, Scotland",clawsandpaws.gagie@gmail.com,,Free Wix subdomain (clawsandpawsgagie.wixsite.com/clawsandpaws) plus Facebook page (facebook.com/clawsandpawsdundee); no own domain,Exact-match search confirms the email on their Wix free-builder site; a wixsite.com address with no custom domain signals DIY web presence that undercuts trust for a boarding business,"Boarding kennels/cattery open 7 days with appointment-based viewings; owners choosing boarding shop on trust, and a proper domain with photos, licence info and booking form directly converts",unknown,https://clawsandpawsgagie.wixsite.com/clawsandpaws
Newdowns Boarding Kennels & Cattery (Newdowns Ltd),UK-wide — Niche services,Kennels / cattery (pet boarding),"Newdowns Farm, Moor Road, Bottesford Moor, Scunthorpe, Lincolnshire DN17 2BS",newdownsboardingkennels@gmail.com,07976 236625,"Facebook page (facebook.com/newdownsbk), Yelp/cylex/dogboarders.co.uk directory listings and a bare LinkedIn page; no own website found",Email surfaced on their public Facebook page (site-restricted search) and repeated on findpetboarding.com and Yell listings; licensed by North Lincolnshire Council yet invisible outside directories,"Small family-run licensed boarder handling long- and short-stay bookings; a site showing licence, pens and prices would lift them above unlicensed home-boarders in local search",ltd company,https://www.facebook.com/newdownsbk/
Next Level School of Dance,UK-wide — Niche services,Dance school,"Dumfries and Annan, Dumfries & Galloway, Scotland",nextlevelschoolofdance@gmail.com,,"Facebook page (facebook.com/nextlevelschoolofdance), Instagram, and a ClassForKids booking subdomain (nextlevelschoolofdance.classforkids.io); no own website",Exact-match search confirms email belongs to this Dumfries school; they already pay for ClassForKids booking software but have no site to funnel parents into it,"Runs dance, acro and aerial hoop classes across two towns for ages 2-18; clear recurring-revenue business already using paid SaaS, so a marketing site is a natural next spend",unknown,https://www.facebook.com/nextlevelschoolofdance/
Attitude School of Dance,UK-wide — Niche services,Dance school,"136 Hawthorn Road, Kingstanding, Birmingham B44 8PX",attitudedancers@gmail.com,07734 886182,"Facebook page (facebook.com/Attitudeschoolofdance), NHS service-directory and IDTA school-finder listings only; no own website found (attitudedance.co.uk / attitudedanceschool.co.uk are different schools elsewhere)",Site-restricted Facebook search shows attitudedancers@gmail.com as the page contact; 18-year-old family-run school with zero owned web presence while similarly named schools own the search results,"Established school offering street, contemporary, jazz, acro and Melody Bear classes; name-collision with other 'Attitude' dance schools means they actively lose enquiries without their own site",unknown,https://www.facebook.com/Attitudeschoolofdance/
Inspiration Hagan School of Dance (Inspiration Studios),UK-wide — Niche services,Dance / performing arts school,"Burscough, Tarleton and Ormskirk, West Lancashire",Inspirationdanceschool@gmail.com,,Facebook page (facebook.com/Inspirationhagan) and Instagram (@inspiration_school_of_dance) only; follow-up search found no dedicated website,"Site-restricted Facebook search shows Inspirationdanceschool@gmail.com as the contact for this school running 40+ classes a week across three towns; local rivals (Ormskirk School of Dance, Base Dance) all have websites","Multi-site school (dance, singing, drama, acro, ages 12 months up) with real timetable complexity; a site with class schedules and enrolment forms would cut admin and win parents comparing schools online",unknown,https://www.facebook.com/Inspirationhagan/
Adventure Express Parties,UK-wide — Niche services,Children's party entertainer,Coventry and Warwickshire,gemma.adventureparties@gmail.com,07554 994362,"Facebook (facebook.com/AdventureExpressParties), Instagram (@adventure_express_parties), TikTok and coventryrocks.co.uk event listings; searches confirm no dedicated website","Exact-match search links the email to Gemma Dunleavy's Adventure Express Parties; runs ticketed seasonal events (Easter, Halloween 'Hogwarts', Christmas) promoted only through social posts",DBS-checked professional team selling party packages ages 1-14 plus ticketed public events; a site with package pricing and online ticket sales directly increases revenue per event,sole trader,https://www.facebook.com/AdventureExpressParties/
Kinga Truszkowska Children's Entertainer (Kinga Children's Party),UK-wide — Niche services,Children's party entertainer,London area (page operates in English for UK audience; exact base unconfirmed),kingachildrensparty@gmail.com,,Facebook page (facebook.com/kingachildrensparty) and Instagram only; no website found,Exact-match search associates kingachildrensparty@gmail.com with her public Facebook entertainer page; weakest-verified lead in this list - confirm location on first contact,"Solo entertainer whose bookings depend entirely on Facebook discovery; a one-page site with packages, photos and an enquiry form is a low-ticket, high-conversion pitch",sole trader,https://www.facebook.com/kingachildrensparty/
